sim; model; stat; esthat; esthatlo; esthatup; tau2hat; tau2hatlo; tau2hatup; sigma2hat; sigma2hatlo; sigma2hatup; IC; truemu0; trueor;  truetausq; truesigmasq; k; nstudies; studysize
1; metan-frequentist-peto-1--logit; mean-orout; 1.271845870481352; 1.005676522066789; 1.608461451338366; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-iv-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-mh-1--logit; mean-orout; 1.27006520949772; 1.004438220358659; 1.60593812907727; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-dl-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-bdl-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-he-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-mp-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-ml-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-reml-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-hm-1--logit; mean-orout; 1.210144298691352; .9009068516083738; 1.625527901181711; .; .; .;.0570872889168251;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-b0-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-bp-1--logit; mean-orout; 1.155742395393156; .7089619720123858; 1.884079171013386; .; .; .;.8975778449101314;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-sj2s-1--logit; mean-orout; 1.183805892480509; .8061409642183848; 1.738401164652805; .; .; .;.2718618375313283;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-dk2s-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-hk-1--logit; mean-orout; 1.212088866417794; 1.034740711555095; 1.419833397572611; .; .; .;.018426796539591;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-pl-1--logit; mean-orout; 1.212088866417794; .9628089240095785; 1.527093175045263; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-kr-1--logit; mean-orout; 1.212088866417794; .0002786233007087; 5272.923751736666; .; .; .;.5204411888829829;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-bt-1--logit; mean-orout; 1.211647614530291; .9624184239420864; 1.525417536983152; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-mu-1--logit; mean-orout; 1.212088866417794; 1.039702078141241; 1.413058077868332; .; .; .;.4439464982083609;.;.; .; .; .; .; .; 41 ; 56; .
1; metan-frequentist-ivhet-1--logit; mean-orout; 1.212088866417794; .9628089208101158; 1.525909646597175; .; .; .;0;.;.; .; .; .; .; .; 41 ; 56; .
1; smeta-frequentist-reml-1-wald-logit; mean-orout; 1.185276011713135; .9468841578381386; 1.483686480878632; .; .; .;1.15354600202e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-reml-1-t-logit; mean-orout; 1.185276011713135; .9421141053018235; 1.491198588405081; .; .; .;1.15354600202e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-reml-1-tkh-logit; mean-orout; 1.185276011713135; 1.035632658371438; 1.356542025385534; .; .; .;1.15354600202e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-reml-1-tkht-logit; mean-orout; 1.185276011713135; .9421141053018235; 1.491198588405081; .; .; .;1.15354600202e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-mle-1-wald-logit; mean-orout; 1.185275985644002; .9468839062144683; 1.483686809886658; .; .; .;2.58271992262e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-mle-1-t-logit; mean-orout; 1.185275985644002; .9421138497811061; 1.491198927253618; .; .; .;2.58271992262e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-mle-1-tkh-logit; mean-orout; 1.185275985644002; 1.035632492405459; 1.356542183107112; .; .; .;2.58271992262e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-mle-1-tkht-logit; mean-orout; 1.185275985644002; .9421138497811061; 1.491198927253618; .; .; .;2.58271992262e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-eb-1-wald-logit; mean-orout; 1.185275970212678; .9468837572702713; 1.48368700463684; .; .; .;3.42869624569e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-eb-1-t-logit; mean-orout; 1.185275970212678; .9421136985301243; 1.491199127828715; .; .; .;3.42869624569e-07;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-eb-1-tkh-logit; mean-orout; 1.185275970212678; 1.035632394164774; 1.356542276467342; .; .; .;3.42869624569e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-eb-1-tkht-logit; mean-orout; 1.185275970212678; .9421136985301243; 1.491199127828715; .; .; .;3.42869624569e-07;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-dl-1-wald-logit; mean-orout; 1.185276032754428; .9468843609346668; 1.483686215321292; .; .; .;0;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-dl-1-t-logit; mean-orout; 1.185276032754428; .942114311543835; 1.491198314905027; .; .; .;0;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-dl-1-tkh-logit; mean-orout; 1.185276032754428; 1.035632792329799; 1.356541898081081; .; .; .;0;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-dl-1-tkht-logit; mean-orout; 1.185276032754428; .942114311543835; 1.491198314905027; .; .; .;0;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-sj-1-wald-logit; mean-orout; 1.138756371652514; .812503753910547; 1.596012409466315; .; .; .;.1811826105495064;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-sj-1-t-logit; mean-orout; 1.138756371652514; .8063584276362812; 1.608175756010232; .; .; .;.1811826105495064;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-sj-1-tkh-logit; mean-orout; 1.138756371652514; .9399455587639211; 1.379618278833633; .; .; .;.1811826105495064;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-sj-1-tkht-logit; mean-orout; 1.138756371652514; .8063584276362812; 1.608175756010232; .; .; .;.1811826105495064;.;.; .;  .; .; .; .; 56; 56; .
1; smeta-frequentist-he-1-wald-logit; mean-orout; 1.185276032754428; .9468843609346668; 1.483686215321292; .; .; .;0;.;.; .; .; .; .; .; 56; 56; .
1; smeta-frequentist-he-1-t-logit; mean-orout; 1.185276032754428; .942114311543835; 1.491198314905027; .; .; .;0;.;.; .; .; .; .; .; 56; 56; .
